Trip ID,Start Time,End Time,Trip Distance,Trip Duration,Start Centroid Latitude,Start Centroid Longitude,End Centroid Latitude,End Centroid Longitude
1be7eb95-5fa4-bdc8-1be7-eb955fa4bdc8,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,1256,332,41.878865946364506,-87.62519186960121,41.878865946364506,-87.62519186960121
0a7798b4-3a17-44d0-b238-012de7799122,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,765,1284,41.9226861178851,-87.64948972103547,41.9226861178851,-87.64948972103547
1be7e603-3b7c-64be-1be7-e6033b7c64be,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,3034,1044,41.85718426592725,-87.62033482705607,41.89960210642618,-87.63330943703566
83055b19-b62f-426f-bb26-d40dfa9073b6,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,368,254,41.79298198528588,-87.72420790440165,41.79298198528588,-87.72420790440165
45a67881-861a-4266-b0f2-db0a3f2ecdfd,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,1087,241,41.763247073626026,-87.61613416907454,41.763247073626026,-87.61613416907454
536eb9a8-b8e2-4e99-bb65-7849664eaca8,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,2806,675,41.94422687050367,-87.65599892982176,41.92275985852189,-87.69915594576551
739f0667-37be-49c7-b4ed-7da94fef4890,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,1565,452,41.90006984503975,-87.72091881010347,41.87891463058505,-87.70589720722788
61304f3e-f7fd-4a40-b595-54aacfc7e72a,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,2012,540,41.92275985852189,-87.69915594576551,41.92275985852189,-87.69915594576551
1be7ea17-b813-2750-1be7-ea17b8132750,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,2007,1098,41.87400538488452,-87.66351788670046,41.9012067343156,-87.67635712603919
10d0c24e-4454-4597-bd24-af36bb82c7a4,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,1776,449,42.009623377988696,-87.6701672940393,42.009623377988696,-87.6701672940393
7d534da3-c36c-4745-bba7-1e01eb45e2ea,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,2627,664,41.94422687050367,-87.65599892982176,41.94422687050367,-87.65599892982176
1be7e7f6-8416-b416-1be7-e7f68416b416,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,2167,1347,41.878865946364506,-87.62519186960121,41.85718426592725,-87.62033482705607
2f380552-81cd-466f-bcf8-7c2c9cef8703,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,1083,308,41.83908700852653,-87.71400209568442,41.83908700852653,-87.71400209568442
507ea0ca-adf6-4663-bf73-e7b9351f6349,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,1662,415,41.9012067343156,-87.67635712603919,41.89960210642618,-87.63330943703566
1d4af416-3b71-4666-be6b-9825d94d7f1c,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,397,140,41.954028162150045,-87.76339991111827,41.954028162150045,-87.76339991111827
20b9baa7-4f31-491a-bd05-495d56f273b7,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,909,169,41.94422687050367,-87.65599892982176,41.94422687050367,-87.65599892982176
3d27aab9-108b-4e80-bfcc-ee99ab5486ba,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,2844,492,41.95358181896004,-87.72345248206662,41.97517153048752,-87.68751544295701
3c1d7873-7843-4aa4-bbf3-609bcd4dbf20,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,1002,244,41.97517153048752,-87.68751544295701,41.96581207771316,-87.65587931915148
6a9b4b8d-b675-49d3-ba1c-1003232996e3,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,4871,2272,41.74020600057612,-87.61596996011724,41.74420543691773,-87.65630678738879
1be7e538-62e6-560c-1be7-e53862e6560c,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,1018,352,41.9012067343156,-87.67635712603919,41.9012067343156,-87.67635712603919
1be7e3aa-ce30-c882-1be7-e3aace30c882,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,1055,337,41.89960210642618,-87.63330943703566,41.9226861178851,-87.64948972103547
0c0b723d-fb88-4e6e-bf65-4995646c372b,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,7008,1284,41.96581207771316,-87.65587931915148,41.92275985852189,-87.69915594576551
1be0e613-fa41-4447-b5ca-c23a0c1c2fd0,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,4583,871,41.77184915902873,-87.69566636418595,41.77719770252813,-87.64249719974059
6183e84c-2251-4546-b01f-86ec9572ae94,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,1341,331,41.9226861178851,-87.64948972103547,41.94422687050367,-87.65599892982176
2da15506-87e2-46e4-bbf5-5c79a1110579,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,28,312,41.67382005041712,-87.63574016612793,41.67382005041712,-87.63574016612793
7d45af2a-353d-4fad-b14e-5e8be32a78e6,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,2207,696,41.90006984503975,-87.72091881010347,41.90006984503975,-87.72091881010347
16227b03-dd5d-4477-b911-d21ec1a7b824,11/01/2024 02:00:00 PM,11/01/2024 02:00:00 PM,87,59,41.9012067343156,-87.67635712603919,41.9012067343156,-87.67635712603919
